                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2983,                 4.4329,                 1.6293,                0.00802,                0.02427,                0.00804,                0.00445,                 1.8352,                 4.0817,                 2.2563,               0.070366,              0.0032927,              0.0032927
                      1,                 1.2046,                 3.9958,                 1.6067,                0.43402,                0.08642,                0.04612,                0.02319,                 1.8828,                 3.9987,                 2.2811,               0.040333,              0.0065932,              0.0065932
                      2,                 1.2807,                 3.5794,                 1.6546,                0.48563,                0.07382,                0.03332,                0.01365,                 2.2973,                  3.992,                 2.6695,               0.010267,              0.0098608,              0.0098608
                      3,                 1.2956,                  3.341,                 1.6382,                0.34286,                0.07282,                0.04171,                0.02104,                 2.2203,                 3.8177,                 2.6196,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.2786,                 3.2166,                 1.6286,                 0.4057,                 0.1153,                0.06734,                0.03226,                 2.0479,                 3.7704,                  2.518,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.2536,                 3.0568,                 1.5983,                0.27171,                 0.1464,                 0.0814,                0.03847,                 1.9517,                 3.4126,                 2.3583,               0.009802,               0.009802,               0.009802
                      6,                 1.2269,                 2.9702,                 1.6007,                0.29735,                0.14115,                 0.0927,                0.04648,                 1.9687,                 3.3627,                  2.331,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.2219,                 2.8899,                 1.5908,                 0.4336,                0.13521,                0.10211,                0.05737,                 1.8562,                 3.2205,                 2.3234,               0.009703,               0.009703,               0.009703
                      8,                 1.1874,                 2.8245,                  1.579,                0.35218,                0.13474,                0.10507,                0.05774,                 1.8586,                 3.2632,                 2.2393,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.1851,                 2.7297,                 1.5661,                0.37293,                0.23681,                0.16655,                0.09297,                 1.8151,                 3.0528,                 2.1897,               0.009604,               0.009604,               0.009604
                     10,                 1.1381,                 2.6172,                 1.5223,                0.25742,                0.25209,                0.17041,                0.09507,                 1.7576,                 3.0003,                 2.1706,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.1369,                 2.6164,                 1.5162,                0.39503,                0.17717,                0.15342,                0.08773,                 1.7937,                 3.1343,                 2.2471,               0.009505,               0.009505,               0.009505
                     12,                 1.1152,                 2.5156,                 1.4957,                0.42637,                0.24672,                0.20377,                0.12191,                 1.7243,                 3.1055,                 2.1787,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.1085,                 2.4836,                 1.4938,                0.38731,                0.26909,                0.19674,                0.11706,                  1.724,                 2.9462,                 2.1475,               0.009406,               0.009406,               0.009406
                     14,                 1.0689,                 2.3779,                 1.4676,                0.38616,                0.22791,                0.17169,                  0.097,                 1.7625,                  3.122,                 2.2226,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.0806,                 2.3765,                 1.4741,                0.33432,                0.24069,                0.18479,                0.10968,                 1.6561,                 2.8701,                 2.0402,               0.009307,               0.009307,               0.009307
                     16,                 1.0612,                 2.3273,                 1.4698,                0.42761,                0.23616,                0.20865,                0.11851,                 1.6774,                 2.9822,                   2.11,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.0703,                  2.312,                   1.46,                0.54276,                0.21748,                0.20647,                0.12725,                 1.6724,                 2.9129,                 2.0863,               0.009208,               0.009208,               0.009208
                     18,                 1.0469,                 2.2285,                 1.4435,                 0.3917,                 0.2989,                0.22756,                0.14192,                 1.7035,                 2.7805,                 2.1447,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.0513,                 2.2296,                 1.4501,                0.38678,                 0.2672,                0.23536,                0.14618,                 1.6769,                 2.7904,                 2.1008,               0.009109,               0.009109,               0.009109
                     20,                 1.0324,                 2.1914,                 1.4308,                0.36312,                0.26338,                0.20693,                0.12572,                 1.6487,                 2.7588,                 2.0658,              0.0090595,              0.0090595,              0.0090595
                     21,                  1.013,                 2.1251,                 1.4179,                0.30765,                0.28051,                 0.2051,                0.12763,                 1.6792,                 2.8978,                 2.1131,                0.00901,                0.00901,                0.00901
                     22,                 1.0125,                 2.1346,                  1.423,                0.40717,                  0.254,                0.21822,                0.13349,                 1.6644,                 2.7503,                 2.0919,              0.0089605,              0.0089605,              0.0089605
